"INCIDENT_ID","REPORTDATE","INCIDENT_ADDRESS","DISTRICT_ID","PRECINCT_ID","OFFENSE_CATEGORY_ID","MJ_RELATION_TYPE","NEIGHBORHOOD_ID"
"2013397283",2013-08-22,"1597 N VALENTIA ST, Denver, CO","2","223","Robbery-Street-Res","NON-INDUSTRY
","east-colfax"
"2012190732",2012-05-07,"2707 W 38TH AVE, Denver, CO","1","111","Burglary","INDUSTRY
","sunnyside"
"2013615526",2013-12-23,"3995 E 50TH AVE, Denver, CO","2","212","Burglary","INDUSTRY
","elyria-swansea"
"2015380779",2015-07-07,"4572 N FREEPORT WAY, Denver, CO","5","521","Theft from Motor Vehicle","NON-INDUSTRY
","montbello"
"2016489909",2016-08-03,"4690 N BRIGHTON BLVD, Denver, CO","2","212","Burglary","INDUSTRY
","elyria-swansea"
"201648404",2016-01-23,"1451 24TH ST, Denver, CO","6","612","Burglary","NON-INDUSTRY
","five-points"
"2012450675",2012-09-27,"2250 S ONEIDA ST, Denver, CO","3","323","Burglary","INDUSTRY
","goldsmith"
"2016601396",2016-09-19,"5569 N JERICHO CT, Denver, CO","5","523","Robbery-Street-Res","NON-INDUSTRY
","gateway-green-valley-ranch"
"2014523890",2014-10-03,"4550 N JACKSON ST, Denver, CO","2","212","Burglary","INDUSTRY
","elyria-swansea"
"2013416510",2013-09-01,"735 W BAYAUD AVE, Denver, CO","3","311","Burglary","INDUSTRY
","baker"
"2012412299",2012-09-06,"6900 E EVANS AVE, Denver, CO","3","323","Robbery-Street-Res","NON-INDUSTRY
","goldsmith"
"2012118310",2012-03-23,"2116 S KALAMATH ST, Denver, CO","4","422","Burglary","INDUSTRY
","college-view-south-platte"
"201241160",2012-01-30,"4945 N PEARL ST, Denver, CO","1","112","Burglary","INDUSTRY
","globeville"
"2016344235",2016-06-02,"734 N SHERIDAN BLVD, Denver, CO","1","122","Burglary","INDUSTRY
","villa-park"
"2012159029",2012-04-18,"1150 E COLFAX AVE, Denver, CO","6","622","Larceny","NON-INDUSTRY
","cheesman-park"
"2012140636",2012-04-06,"985 S LOGAN ST, Denver, CO","3","312","Burglary","INDUSTRY
","washington-park-west"
"2013615516",2013-12-23,"4690 N BRIGHTON BLVD, Denver, CO","2","212","Burglary","INDUSTRY
","elyria-swansea"
"201219475",2012-01-15,"1640 E EVANS AVE, Denver, CO","3","313","Burglary","INDUSTRY
","university"
"2015668640",2015-11-15,"6359 E EVANS AVE, Denver, CO","3","322","Burglary","INDUSTRY
","virginia-village"
"2015416560",2015-07-23,"1620 MARKET ST, Denver, CO","6","612","Larceny","INDUSTRY
","union-station"
"2016608985",2016-09-22,"1798 W MISSISSIPPI AVE, Denver, CO","4","422","Larceny","INDUSTRY
","ruby-hill"
"2012552899",2012-11-29,"2647 W 38TH AVE, Denver, CO","1","111","Burglary","INDUSTRY
","sunnyside"
"2016384509",2016-06-19,"1100 N YUMA CT, Denver, CO","1","123","Burglary","INDUSTRY
","lincoln-park"
